codigo,producto,precio_c_iva
D60600,Salida Peugeot 208 - 1.5 8V (13/17) y 1.6 16V (13/19),70845.14
D60602,Salida Reemp. Catalizador Peugeot 208 1.6 16V (19 ->),62334.82
D80088,Salida Citroen C3 Picasso y C3 Aircross (10/21),70225.3
D90657,Salida Camión Ford Cargo 1722 - Electronico (06/11),80595.65
D90658,Salida Camión Ford Cargo 1722 (12/20),77495.82
DC551,Salida c/Catalizador Peugeot 206 1.6 16V y 1.4 8V  (04/08),295047.71
DC2560,Salida c/Catalizador Peugeot 307 1.6 16V c/ y s/Baúl (01/12),295385.87
DC2564,Múltiple c/Cat. Peugeot 307 y 408; Citroen C4 y Picasso 2.0,383252.04
DC10032,"Múlt. c/Catal. Ch. Corsa, Celta, Onix, Prisma y Agile - 1.4",378517.75
DC10085,Salida c/Catalizador Chevrolet Aveo 1.6 (08/14),333542
DC10260,Salida c/catalizador Chevrolet Tracker 1.2 T (20 ->) NUEVO - NUEVO - NUEVO,406632.42
DC10800,Múlt. c/Cataliz. Ch. Cruze 1.8 (10/15) y Tracker 1.8 (12/20),366118.42
DC10900,"Catalizador Inter. Ch. Prisma, Onix y Joy - 1.4 y Spin - 1.8",270530.85
DC20157,"Múlt. c/Cataliz. VW Gol Trend, Suran, Fox y Voyage - 1.6",368767.37
DC20200,Salida c/Catalizador VW UP 1.0 (14/21),348308.47
DC30170,"Múltiple c/Cataliz. Fiat Palio, Strada y Siena - 1.6 E.torQ",368485.56
DC30180,"Múlt. c/Catal. Fiat Palio, Siena y Strada - Fire 1.4 (07/14)",367471.07
DC30190,"Múltip. c/Catal. Fiat Palio, Siena y Strada 1.4 Fire (14/20)",402978.25
DC40100,Múltple c/Catalizador  Ford Ecosport Kinetic - 1.6  (12/17),421915.41
DC40105,Múltiple c/Catalizador Ford Ecosport Kinetic 2.0 (13/17),456239.01
DC40324,"Múltiple c/Cataliz. Ford Focus, Fiesta One y Ecosport - 1.6",392833.34
DC40326,Múlt. c/Cataliz. Fiesta Kinetic 1.6 (10/20) y Ka 1.5 (16/21),422140.85
DC40340,Múltiple c/Catalizador Ford Focus II - 2.0 (08/13),488364.55
DC40341,Múltiple c/Catalizador Ford Focus II 1.6 (08/13),429974.97
DC40343,Múltiple c/Catalizador  Ford Focus III 2.0  (13/20),430989.46
DC50400,Múltiple c/Cataliz. Renault Logan y Sandero 1.6 8V (13/19),388775.38
DC50401,Salida c/Catalizador Renault Sandero y Logan 1.6 16V (13/19),273912.49
DC50700,"Salida c/Cataliz. R. Duster, Logan, Oroch y Sandero 1.6 16V",273348.88
DC50702,Salida c/Catalizador Renault Duster y Oroch 2.0 16V,326891.45
DC60200,Salida c/Catalizador Peugeot 307 y 308 1.6 16V,271150.82
DC60600,Salida c/Cataliz. Peug. 208 1.6 16V (13/19) y 1.5 8V (13/17),293075.09
DC70100,Salida c/Catalizador  Toyota Etios 1.5  (13->),280675.76
DE10032,"Múlt. Reemp. Catal. Chev. Corsa, Celta, Onix y Agile - 1.4",159613.2
DE20112,Salida Reempl. Catalizador VW Polo 1.6 MSI (17->),153808.06
DE20157,"Múlt. Reemp. Cataliz. VW Gol Trend, Suran, Fox y Voyage- 1.6",148002.92
DE30180,"Múlt. Reemp. Catal. Palio, Siena y Strada - Fire 1.4 (07/14)",154878.91
DE30190,Múlt. Reemp. Catal. Fiat 1.4 Fire (14->)  NUEVO - NUEVO - NUEVO,167942.31
DE40340,Múltiple Reemp. Catalizador Ford Focus II - 2.0 (08/13),215184.45
I32,Intermedia Chevrolet Corsa elimina catalizador,37197.99
I60,Interm. Chevrolet Luv e Isuzu - Diesel 2.5 (95/99),48131.95
I80,Intermedia Citroen 3CV Y AMI 8,20120.73
I100,Precamara Dodge 1500 (73/82),57882.33
I101,Intermedia Dodge 1500 (73/82),19613.49
I104,Intermedia Volkswagen Golf - 2.0 GTI (96/99),17302.7
I110,Precamara Reempl. Catalizador VW Polo 1.6 I,44412.15
I140,Prec. interm. anula cat. VW Saveiro - 1.8 (94/97),56980.56
I140/2,"Prec. Reempl. Catalizador Boquilla Ø1"" 7/8",38663.37
I147,Intermedia Reempl. Catalizador VW Gol 1.6 MI,55684.27
I147/1,Reemplaza Catalizador VW Gol Diesel 1.9,51288.14
I147/2,"Turbo Reempl. Catalizador Boquilla Ø2""1/8",23051.48
I148,Intermedia VW Gol 1.0 I (00/02),27842.13
I162,Intermedia Fiat Palio - 1.6 I (97/01),49822.77
I162/1,Intermedia Fiat Palio - 1.6 16V (97/99),53148.04
I168,Reempl. Catalizador F. Palio 1.8 y Strada 1.8,64476.52
I177,Reempl. Catalizador F. Palio Fire 1.3,35169.01
I178,Intermedia Fiat Palio Fire 1.4,52189.91
I185,Intermedia Fiat 1500,33760
I196,Intermedia Fiat Uno y Duna,25362.27
I196/1,Intermedia Fiat Uno 1500 Brasilero,23615.09
I200,Intermedia Fiat 125,19331.68
I216,Intermedia Fiat Spazio M.Tipo 1.4,24178.7
I250,Intermedia Ford Escort 1.6,25193.19
I252/1,Intermedia Ford Escort - Audi 1.6,30378.36
I299,Intermedia Ford F-100 Turbo MWM (96/99),27673.05
I306,Interm. F-100 Perkins 4/203 y Potenciado (82/90),17302.7
I307,Interm. F-100 Perkins 4/203 y Potenciado (82/90),24629.58
I308,Interm. F-100 Diesel MWM 4 cilindros (93/95),22713.32
I309,Interm. F-100 HSD - Maxion 2.5 TD (96/99),21698.83
I310,Interm. F-100 Super Dutty-Cummins TD 3.9 (00/06),36578.03
I322,Intermedia s/silenc. Ford Fiesta 1.0 I (98),46666.57
I325,Intermedia Ford Ka 1.3 I (97/99),62954.78
I326,Intermedia Ford Ka 1.3 I (97/99),23840.53
I327,Intermedia c/Turbo Ford Ka 1.0 I (97/08),59065.9
I329,Intermedia c/Turbo Ford Ka 1.0 (08/10),56755.12
I366,Intermedio chasis largo Jeep Ika,24685.94
I370,Intermedia Ford Ranger 2.8 TD (96/98),41875.92
I385,Intermedia R19 RT 1.8 I,43059.49
I390,Interm. elim. Catalizador R Clio 1.4 I y 1.6 I,65547.37
I393/1,Intermedia Clio II 1.5 DCI,22318.8
I394,Intermedia R.Clio II 1.6 I 16V C/S/Baúl,98912.84
I396,Intermedio c/turbo Renault Clio II 1.2 16V,43904.9
I406,Precam. Interm. R. Megane RT - 1.6 I (97/99),95023.96
I406/1,Intermedia R. Megane - 1.6 I 16V (00/09),48921
I407,Precam. Intermedia R. Megane RT,51231.78
I407/1,Interm. Reemp. Catalizador R. Megane RT y Scenic,67407.27
I408,Intermedia R.Megane - 1.9 TD (97/09),59629.51
I410/2,"Turbo reemplaza catalizador Boq. Ø2""",29363.87
I425,Interm.corta R.Trafic 1400-2000 y Diesel,25587.71
I426,Interm. larga R. Trafic 2000 y Diesel,30265.64
I435,Intermedia 4L y 4S,14371.95
I445,Intermedio Renault 6 2da Serie,30603.8
I447,Intermedia R.Twingo (94/01),24404.14
I460,Interm. 2do tramo Renault 12 - 1400 y Break,45539.36
I460/1,"Prec. sin caño R.12 - 1400, Break y 1600 Caja 5ta",35281.73
I461,"Int. 3er tramo R.12 - 1400, Break y 1600 Caja 5ta",28067.58
I462,Precam. 2do tramos Renault 12 - 1600 Caja 5ta,43510.38
I475,Precam. 2do tr. Renault 18 - 1400 (84/88),47681.06
I475/1,Precam. 2do tr. Renault 18 - 1600 - Parag. envolv.,43735.82
I476,Interm. 3er tr. R.18 - 1600 - Parag. envolv.,29194.79
I490,Intermedia Peugeot 404 (66/80),27673.05
I505,Resonador Peugeot 504 (69/82),64589.24
I506,Interm. anula reson. Peugeot 504 (69/82),25136.83
I510,Reson. Peugeot 504 (83/98) y 505 (83/92),49315.52
I522,Interm. Peug. Pick Up 504 Nafta y Dies. Ligero,19218.96
I528,Interm. Peugeot Partner - Diesel 1.9 (98/10),31054.69
I547,Intermedia Peugeot 206 - 1.6 I Nacional (99/03),41086.87
I549,Intermedia Peugeot 206 Diesel 1.9 (99/06),27334.89
I551,Intermedia Peugeot 206 1.6 16V,28969.35
I552,Intermedia Peugeot 206 1.4,30265.64
I690,Interm. Corta Merc. Benz 1112 - 1114 - 911,10990.32
I691,Interm. Larga Mercedes Benz 1112 - 1114 - 911,20346.17
I694,Intermedia Corta Mercedes Benz 1517,12512.05
I695,Intermedia Larga Mercedes Benz 1517,22656.96
I697,Intermedia Mercedes Benz 1215 - 1720,26320.4
I698,Intermedia Mercedes Benz 1938 (92/96),45595.72
I2265,Intermedia Elim. Catalizador F. Fiesta 1.3 I (95/96),54106.17
I2404,Intermedia c/Turbo Suzuki Fun 1.0 I,59854.95
I2560,Intermedia Peugeot 307 - 308 1.6 16V,27842.13
I5202,Intermedia c/silenc. Ford Escort Brida 3 agujeros,98631.04
I5205,Int. c/sil. Ford Escort XR3 2.0 I,89958.55
I5210,Intermedia c/silenc. Ford Escort 1.8 I 16V,103139.89
I5218,Intermedia c/silenc. Ford Focus 1.8 I,104605.26
I5219,Intermedia c/silenc.  Ford Focus II 1.6,107930.54
I5220,Intermedia c/Silenc. Ford Focus II 2.0,125853.21
I5228,Intermedia c/Silenc. Ford Ka 1000,80482.93
I5233,Int. c/sil. Diesel Ford Fiesta 1.3I,86682.59
I5236,Intermedia c/silenc. Ford Fiesta - 1.6 I (02/14),79017.55
I5251,Intermedia c/silenc.  Ford Ka 1.0 y 1.6 (10/14),78172.14
I5260,Intermedia c/silenc. Ford Fiesta Kinetic Design 1.6,95982.09
I5275,Intermedia Ford Ranger 2.2 y 3.2  (11/16),58558.66
I5277,Intermedia Ford Ranger 2.2 y 3.2  (20/23),53785.56
I5278,"Interm. Elimina DPF Ford Ranger 2,2 y 3,2 (17/20)",65491.01
I5283,Intermedia Ford Ranger 2.0 Turbo y Bi Turbo (23 ->),50276
I5290,"Imterm. Elimina DPF Ford Transit 2,2 TD (12/23)",57709.18
I5300,Intermedia c/silenc. Ford Maverick 2.0 T (21 ->),146856.75
I5400,"Intermedia s/silenc. VW Senda, Gacel y Gol 1.6",39226.97
I5411,"Intermedia s/silenc. VW Senda, Gol, Saveiro",39846.94
I5415,"Intermedia c/silenc. VW Gol 1.6 I, 1.8 I, 2.0 I",83019.16
I5417,Intermedia  VW Gol - 1.6 MI (98/11),91022.36
I5418,Intermedia c/silenc.  VW Gol 1.4,82399.19
I5419,Intermedia c/Silenc. VW Gol Trend 1.6,104717.98
I5419/1,Intermedia Libre VW Gol Trend 1.6,71521.59
I5433,Intermedia c/silenc. VW Polo 1.6 MSI (17 ->),83695.48
I5435,"Intermedia c/silenc.  Golf - 1.8 I, 2.0 I y GTD",70901.63
I5437,Intermedia c/silenc.  VW Golf IV - 1.6 I (99/12),68647.2
I5445,Intermedia c/Silenc. VW Fox 1.6 (04/19),66167.34
I5460,Intermedia Libre VW Bora 1.8 T (03/15),89951.51
I5465,Intermedia Libre VW Bora 2.0,69154.45
I5470,Intermedia c/silenc. VW Vento 2.5,99476.45
I5475,Intermedia c/silenc. VW Vento 2.0 T (07/15),129629.37
I5475/1,Intermedia libre VW Vento 2.0 T (07/15),107693.56
I5476,Intermedia c/silenc. VW Vento 1.4 T (19/23),99571.05
I5480,Intermedia c/Silenc. VW Up 1.0 (14/21),94967.6
I5490,Elimina DPF VW Amarok 3.0 V6 (18 ->),54106.17
I5491,Intermedia VW Amarok 3.0 V6 (18 ->),81271.98
I5491/1,"Intermedia Ø 3""  VW Amarok 3.0 V6 (18 ->)",83327.1
I5600,Intermedia c/silenc.  Fiat Uno y Duna,101674.51
I5600/1,Intermedia Libre Fiat Uno y Duna,65434.65
I5604,Intermedia c/silenc.  Fiat Uno Evo 1.4 (10/16),76086.8
I5616,Intermedia Libre Fiat 147 motor Tipo (90/96),48526.47
I5627,Intermedia c/silenc. Fiat Palio 1.6,79975.68
I5645,Intermedia c/Silenc. Fiat Palio 1.8 (04/10),95362.13
I5646,Intermedia c/Silenc. Fiat Palio 1.4 Fire,79975.68
I5648,Intermedia c/Silenc. Fiat Palio 1.6 EtorQ,79130.27
I5650,Intermedia c/Silenc. Fiat Punto 1.4 y 1.8,85724.46
I5670,Intermedia c/silenc.  Fiat Cronos 1.3 (18 ->),88486.02
I5800,Intermedia c/silenc. Peugeot 505 (83/93),76481.33
I5831,Intermedia c/silenc. Peugeot 206 - Nacional,79468.44
I5833,Intermedia c/silenc. Peugeot 206 16V (04/08),83300.96
I5834,Intermedia c/silenc.  Peugeot 207 1.4,92487.74
I5837,Intermedia c/silenc.  Peugeot 208 1.5 (13/17),99420.09
I5838,"Internedia c/silenc. Peugeot 208 1,6 16V (13/19)",100547.12
I5839,Intermedia c/silenc. 208 1.6 16V  (19 ->),94347.63
I5862,"Interm. Elimina DPF P. Expert y Cit. Jumpy 1,6 HDI  (22->)",26545.79
I5870,Interm. Elimina DPF Peu. Boxer y Cit. Jumper 2.2 HDI (18/22),58953.08
I6010,Intermedia c/silenc. R 18 - 2.0 paragolpes viejo,95700.29
I6051,Intermedia Renault Laguna - 2.2 I (95 -),79017.55
I6055,Intermedia c/silenc. Renault Clio 1.4 y 1.6,95587.57
I6058,Int. c/sil. Clio II- 1.6 y Dies,76763.13
I6059,Intermedia c/silenc. Clio II -1.6 I 16V,68027.24
I6060,Intermedia c/silenc.  Clio II - 1.2 I 16V - S/Baul,69154.45
I6061,Intermedia c/silenc. Clio II 1.2 16V c/ y s/baul (03/12),61827.57
I6062,Intermedia c/silenc.  Renault Clio Mio 1.2,77157.65
I6065,Interm. c/Silenc. Renault Express - 1.9 Diesel (96/00),82737.35
I6070,Intermedia c/silenc. Renault Megane,71408.87
I6072,Intermedia c/silenc. Renault Megane II,67463.63
I6094,Intermedia c/silenc. R. Logan y Sandero 1.6 8V y 16V (13/19),93671.31
I6120,Intermedia c/silenc.  Renault Fluence 2.0 (10/18),79637.52
I6130,Intermedia c/silenc. Renault Kwid 1.0 (17 ->),73663.3
I6200,"Intermadia c/silenc. Ch. Corsa 1.6, Classic 1.4 y Celta 1.4",92882.26
I6210,Intermedia c/silenc. Chevrolet Corsa 1.6 I Pick Up (96/99),100603.66
I6222,Interm. Elimina DPF Chevrolet S-10 2.8 TD (18/22),145128.53
I6232,Intermedia c/silenc. Chevrolet  Astra 2.0 S/Baúl,80933.81
I6270,Intermedia c/silenc.  Chevrolet Agile - 1.4 (09/17),94685.8
I6276,Intermedia Chevrolet Cruze 1.4 T (16/24),82991.7
I6280,Intermedia c/silenc. Chevrolet Onix 1.4 (13/19),103196.25
I6800,Intermedia c/silenc. Citroen C3 1.6 16V (03/13),99363.73
I6802,Intermadia c/silenc. Citroen C3 1.6 16V (13/22),79017.55
I7000,Silenc. Intermedio RAM 1500 5.7 V8 (13->),94685.8
I10032,Intermedia Chevrolet Agile y Corsa 1.4 (09/17),76875.85
I10250,Intermedia Chevr. Tracker 1.8 (12/20),95700.29
I10300,Reempl. Catal. Chevrolet Prisma y Onix 1.4 y Spin 1.8 (13->),39354.66
I10301,Intermedia Chevrolet Onix 1.4 (13->),35338.09
I10350,Intermedia Chevrolet S-10 2.8 (13/17),129629.37
I10800,Intermedia Chevrolet Cruze 1.8 (10/15),82004.66
I10900,Intermedia Chevrolet Spin 1.8 (12->),72705.17
I10901,Intermedia c/Turbo Chevrolet Spin 1.8 (12->),55796.99
I20114,Intermedia VW Fox y Suran 1.6 (10/19),22206.07
I20148,Reemplaza Catalizador VW Gol 1.6 (09/11),62616.62
I20157,Intermedia VW Gol Trend 1.6,71747.04
I20158,Intermedia Trasera VW Gol Trend 1.6,28293.02
I20161,Intermedia VW Saveiro 1.6 (10/22),29363.87
I20700,Intermedia VW Amarok 2.0 TDI (10 ->),23953.25
I30170,Intermedia Fiat Palio E.torQ 1.6 (12/17),67294.55
I30176,Intermedia Fiat Palio Weekend 1.6 E.torQ (10/17),74677.79
I30181,Intermedia Fiat Palio Weekend Fire 1.4,57487.81
I30190,Intermedio Fiat Fiorino 1.4 Fire (14->),54106.17
I30204,Intermedia Libre Fiat Fiorino - 1.3 Fire,34943.57
I30206,Intermedia Libre Fiat Uno Fire - 1.3 (04/15),35619.9
I30400,Intermedia Libre Fiat Strada 1.4 Fire (09/20),27560.33
I30499,Intermedia Libre Fiat Cronos 1.3 MT (18->),49146.35
I30500,Intermedia Libre Fiat Cronos 1.3 AT (18->),48019.16
I30600,Intermedia Fiat Mobi 1.0 8v Fire (16-21),68392.79
I40324,Intermedia Ford Ecosport 1.6 (08/12),27673.05
I40325,Caño Reforma Gas Ecosport 1.6 (08/12),20007.99
I40329,Intermedia Ford Ka 1.0 y 1.6 (10/14),78735.75
I40330,Intermedia Ford Focus 1.8,117850
I40333,Intermedia Ford Focus 1.6 (08/12),34098.16
I50100,Intermedio c/turbo Renault Kwid 1.0 (17 ->),38832.45
I50399,Intermedia c/Turbo Renault Clio Mio,44355.79
I50400,Intermedia Renault Sandero y Logan 1.6 8V,32689.14
I50401,Intermedia c/Turbo R. Logan y Sandero 1.6 8V (13/19),52528.07
I60109,Intermedia Peugeot Partner 1.6 HDI (10 ->),53843.01
I60110,Intermedia Peugeot Partner 1.6 HDI (10 ->),41143.23
I60302,Intermedia Peugeot 408 - 1.6 16V (15/21),30716.52
I60560,Intermedia Peugeot 207 1.4 s/Baúl,41086.87
I60561,Intermedia Peugeot 207 1.4 c/Baúl,43397.66
I60562,Intermedia Peugeot 207 1.6 16V s/Baul (08/13),23276.93
I60563,Intermedia Peugeot 207 1.6 16V c/Baúl (09/12),25587.71
I60600,Intermedia Peugeot 208 1.5,51851.75
I60602,Intermedio Peugeot 208 1.6 16V (19 ->),45764.8
I70100,Turbo Delantero Toyota Etios 1.5 s/Baul (13->),57769.61
I70101,Turbo Delantero Toyota Etios 1.5 c/Baul (13->),57769.61
I80100,Intermedia Citroen C3 1.5 8V (13 ->),52753.52
I80601,Intermedio Jeep Compass 2.4 (17 ->),21191.58
I90638,Intermedia Camión Scania 114,50611.81
I90696,Intermedia Camion M.Benz 1634,71127.07
I90800,Intermedia Camion VW 19320 y 25370 (08/15),81722.88
MU5220,"Múltiple Ford Focus II, Focus III y Ecosport - 2.0",141126.93
MU5250,"Múltiple Ford Fiesta, Ecosport, Focus y Ka - 1.6; F. Ka 1.0",116271.91
MU5260,"Múltiple F. Fiesta Kinetic, Ecosport Kinetic y Focus II -1.6",118639.05
MU5416,Múltiple VW Gol - 1.6 MI (98/11),135829.03
MU5417,Múltiple VW Gol Power 1.4 (12/15),123204.26
MU5419,"Múltiple VW Gol Trend, Voyage, Suran, Fox y Cross Fox - 1.6",113453.88
MU5465,Múltiple VW Bora - 2.0 (03/15),129911.17
MU5600,"Múltiple Fiat 147 Tipo, Uno y Duna",107085.13
MU5646,Múltiple Fiat Palio  y Siena -  Fire 1.4,120217.15
MU5647,Múltiple Fiat Palio 1.4 Fire (11/14) y Uno Evo 1.4 (10/16),116553.71
MU5648,Múltiple Fiat Palio y Strada - 1.6 E.torQ,113115.71
MU5833,M£ltiple Peugeot 206 y 307 1.6 16V,126247.73
MU5834,Múltiple Peugeot 207 1.4 (08/16) y 208 1.5 (13/17),118582.69
MU6059,Múltiple Renault Clio II - 1.2 16V (03/12),117680.92
MU6060,Múltiple Renault Clio Mio 1.2 (12/17),115031.97
MU6070,"Múltiple Renault Megane, Logan y Sandero - 1.6 8V",115370.14
MU6200,Múltiple Chevrolet Corsa 1.6  (95/09),157020.62
MU6201,"Múltiple Ch. Corsa 1.6; Corsa II, Agile, Celta y Onix - 1.4",123936.95
MU6230,"Múltiple Chevrolet Astra, Astra II y Zafira - 2.0 8V",127093.14
MU6232,"Múltiple Ch. Astra y Zafira 2.0 16V; Vectra 2.0, 2.2 y 2.4",137688.93
MU6250,Múltiple Chevrolet Astra II y Vectra - 2.0 8V (07/11),127093.14
MU6410,Múltiple Toyota Pick Up Hilux 3.0 4x2 (01/05),141239.65
S10,Silenciador Chevrolet 400 (62/65),42157.72
S80,Disparador Citr”en 3CV y Ami 8,96940.22
S81,Sil. Central Orig. c/cola Citroen 3CV y Ami 8,53993.45
S170,Conjunto Completo Fiat 600 y 750,70168.94
S175,Conjunto Completo Silenciador Fiat 600,111199.45
S190,"Silenc. Delantero Fiat 128 - 1100, 1300 (71/91)",99758.25
S191,"Silenc. trasero Fiat 128 - 1100, 1300 (71/91)",84371.81
S270,Silenc. F100 8 cil. (66/72) y 6 cil. (69/81),57713.25
S280,"Sil. F100 8 Cil. Fase II (72/81), 6 cil. (82/89) y Perkins 4",57995.05
S365,Silenciador Jeep Ika,35112.65
S435,Silenciador Renault 4L y 4S,71690.68
S445,Precam. Delantera Renault R6 - 2da Serie,46328.41
S446,Precam. Trasera Renault R6 - 2da Serie,43904.9
S480/1,Precamara R11 y R9,56191.51
S550,Silenciador Rastrojero Indenor,40466.91
S635,Silenc. Interm. Scania Camión 113 y Colectivo,136054.47
S680,Silenciador Mercedes Benz 608,68139.96
S681,Silenciador Mercedes Benz 710 (93/00),106014.28
S690,"Silenc. Universal - Tapa 180 x 900 mm - Boq. Ø 2"" 5/8",63405.67
S690/1,"Silenc. Universal - Tapa 180 x 900 mm - Boq. Ø 2"" 5/8 c/Int.",99758.25
S696,"Silenciador Camion Mercedes Benz 1634, 1632 - 1938e",367527.43
S698,Silenc. Mercedes Benz 1938 (92/96),189033.43
S752,"Silenc. Universal - Tapa 160 x 600 mm - Boq. Ø 2"" 5/8",46892.01
S752/1,"Silenc. Universal - Tapa 160 x 600 mm - Boq. Ø 2"" 5/8 c/Int.",78059.42
S753,"Silenc. Universal - Tapa 160 x 600 mm - Boq. Ø 3"" 1/8",48357.39
S753/1,"Silenc. Universal - Tapa 160 x 600 mm - Boq. Ø 3"" 1/8 c/int.",79355.72
S754,"Silenc. Universal - Tapa 180 x 900 mm - Boq. Ø 3"" 1/8",64814.68
S754/1,"Silenc. Universal - Tapa 180 x 900 mm - Boq. Ø3"" 1/8 c/Int.",101054.55
S755,"Silenc. Universal - Tapa 180 x 900 mm - Boq. Ø3"" 5/8",69887.14
S755/1,"Silenc. Universal - Tapa 180 x 900 mm - Boq. Ø3"" 5/8 c/int.",96827.5
S760/1,"Silenc. Universal - Tapa 250 x 1000 mm - Boq. Ø3"" 1/8 c/Int.",164347.49
S761,"Silenc. Universal - Tapa 250 x 1000 mm - Boq. Ø3"" 5/8",108606.87
S761/1,"Silenc. Universal - Tapa 250 x 1000 mm - Boq. Ø3"" 5/8 c/Int.",167841.85
S762,"Silenc. Universal - Tapa 250 x 1000 mm - Boq. Ø4"" 1/8",111312.17
S762/1,"Silenc. Universal - Tapa 250 x 1000 mm - Boq. Ø4"" 1/8 c/Int.",170265.36
S768,"Silenc. Univ. Ovalado Boq. Ø3""1/8 desplazada - 900mm",91585.97
S768/1,"Silenc. Univ. Ovalado Boq. Ø3""1/8 desplazada - 900mm c/int.",139605.19
S769,"Silenc. Univ. Ovalado Boq. Ø3""1/2 desplazada - 900mm",95362.13
S769/1,"Silenc. Univ. Ovalado Boq. Ø3""5/8 desplazada - 900mm c/Int.",147495.68
S770,"Silenc. Univ. Ovalado Boq. Ø4""1/8 desplazada - 900mm",98180.16
S770/1,"Silenc. Univ. Ovalado Boq. Ø4""1/8 desplazada - 900mm c/int.",145579.41
S771,Silenc. Univ. Oval. - Ent. desp. y sal. al centro -  900mm,98180.16
S771/1,Silenc. Univ. Oval.-Ent. desp. y sal. al centro-900mm c/int.,145579.41
S780,"Silenc. Universal - Tapa 250 x 600 mm - Boq. Ø3"" 1/8",83075.52
S780/1,"Silenc. Universal - Tapa 250 x 600 mm - Boq. Ø3"" 1/8 c/Int.",115201.05
S781,"Silenc. Universal - Tapa 250 x 600 mm - Boq. Ø3"" 5/8",87020.76
S781/1,"Silenc. Universal - Tapa 250 x 600 mm - Boq. Ø3"" 5/8 c/Int.",115764.66
S782,"Silenc. Universal - Tapa 250 x 600 mm - Boq. Ø4"" 1/8",89500.62
S782/1,"Silenc. Universal - Tapa 250 x 600 mm - Boq. Ø4"" 1/8 c/Int.",118019.08
S790/2,"Silenc. Univ. Ovalado Boq. Ø4""1/8 desplazada - 600mm",86457.15
S815,Silenc. Tractor M. Ferguson 4-203 y 6-305,52189.91
S816,Silenc. Tractor M. Ferguson 6-354 FII y FIV,55064.3
S840,Silenciador Tractor Fiat 700,57769.61
S850,Silenciador Cosechadora Vasalli RV 170 y V 1550,138872.5
S5000,"Cámara Universal Red.    300mm x 5""    Boquilla Ø2"" 1/8",34943.57
S5000/1,"Cámara Universal Red.    300mm x 4""    Boquilla Ø2"" 1/8",31731.01
S5001,"Cámara Universal Red.    400mm x 5""    Boquilla Ø2"" 1/8",42270.45
S5001/1,"Cámara Universal Red.    400mm x 4""    Boquilla Ø2"" 1/8",36465.3
S5002,"Cámara Universal Red.    500mm x 5""    Boquilla Ø2"" 1/8",50330.01
S5002/1,"Cámara Universal Red.    500mm x 4""    Boquilla Ø2"" 1/8",43059.49
S5003,"Cámara Universal Oval.   300mm x 5""    Boquilla Ø2"" 1/8",36916.19
S5004,"Cámara Universal Oval.   400mm x 5""    Boquilla Ø2"" 1/8",43003.13
S5005,"Cámara Universal Oval.   500mm x 5""    Boquilla Ø2"" 1/8",50837.26
S5010,"Cámara Universal Red.    300mm x 5""    Sin Boquilla",34549.04
S5010/1,"Cámara Universal Red.    300mm x 4""    Sin Boquilla",30040.2
S5011,"Cámara Universal Red.    400mm x 5""    Sin Boquilla",40635.99
S5011/1,"Cámara Universal Red.    400mm x 4""    Sin Boquilla",34774.49
S5012,"Cámara Universal Red.    500mm x 5""    Sin Boquilla",48695.55
S5012/1,"Cámara Universal Red.    500mm x 4""    Sin Boquilla",41086.87
S5013,"Cámara Universal Oval.   300mm x 5""    Sin Boquilla",38156.12
S5014,"Cámara Universal Oval.   400mm x 5""    Sin Boquilla",41312.32
S5015,"Cámara Universal Oval.   500mm x 5""    Sin Boquilla",49202.8
S5021,"Cámara Universal Oval.  2 entr y 2 sal.   300mm-Boq. Ø2"" 1/8",52189.91
S5022,"Cámara Universal Oval.  2 entr y 2 sal.   400mm-Boq. Ø2"" 1/8",59967.67
S5030,"Cámara Universal Oval.  1 entr y 2 sal.   400mm-Boq. Ø2"" 1/8",61658.49
S5031,"Cámara Universal Oval.  1 entr y 2 sal.   500mm-Boq. Ø2"" 1/8",67970.88
S5050,"Cámara Univ. Oval. entr y  sal. desplaz.  400mm-Boq. Ø2"" 1/8",58107.77
S5055,Cámara Universal Oval.  1 entr y 2 sal.   400mm  Sin Boq.,61151.24
S5060,Cámara Universal Oval.  1 entr y 2 sal.   500mm  Sin Boq.,65941.9
S5070,"Cámara Universal Red. 400mm x 5""  Sin Boq.   Caño Ø2"" 1/2",41819.56
S5071,"Cámara Universal Red. 500mm x 5""  Sin Boq.   Caño Ø2"" 1/2",50668.17
S5080,"Cámara Universal Red. 400mm x 6""  Sin Boq.   Caño Ø3""",53542.56
S5081,"Cámara Universal Red. 500mm x 6""  Sin Boq.   Caño Ø3""",63123.87
S5100,Cámara Universal Cola  Acero Inox. con Chanfle,55233.38
S5110,Cámara Universal con Boq. y Cola Acero Inox. con Chanfle,56924.2
S5111,Cámara Universal con Boq. y Cola Acero Inox. Recta,56924.2
S5218,Silenc. Tras. Ford Focus 1.6 y Zetec 1.8 I   s/Baúl,55966.07
S5220,Silenc. Tras. Ford Focus II - 1.6 y 2.0 (09/13)   s/Baúl,58727.74
S5222,Silenc. Tras. Ford Focus III - 2.0 (13/20),85442.66
S5228,Silenc. Tras. Ford Ka - 1.0 I y 1.6 I (03/08),61094.88
S5236,Silenc. Tras. Ford Fiesta - 1.6 I y Ecosport 1.6 I,60193.11
S5238,Silenc. Tras. Ford Ecosport 1.6 I (03/12) y 2.0 (03/10),61263.97
S5251,Silenc. Tras. Ford Ka 1.0 y 1.6 (10/14),55007.94
