codigo,producto,precio_c_iva,,,,
JMU-9004,Junta M£ltiple Chevrolet Astra. Vectra 2.0 16V,10760.75,,,,
JMU-9005,Junta M£ltiple Renault Megane 1.6 8v,7826.0,,,,
JMU-9006,Junta M£ltiple Volkswagen Gol Power 1.6,7826.0,,,,
JMU-9007,Junta M£ltiple Volkswagen Gol Trend 1.6,7826.0,,,,
JMU-9008,Junta M£ltiple Fiat Palio Fire 1.4 8V,6749.93,,,,
JMU-9009,Junta M£ltiple Peugeot 206 1.6 16V,7336.87,,,,
JMU-9010,Junta M£ltiple Fiat Palio 1.6 Etorq,9782.5,,,,
JMU-9011,Junta M£ltiple Peugeot 207 1.4 y 208 1.5,8478.17,,,,
JMU-9012,Junta M£ltiple Renault Clio Mio 1.2,7826.0,,,,
JMU-9013,Junta M£ltiple Ford Focus II 2.0 (08/13),10760.75,,,,
JMU-9014,Junta M£ltiple Ford Fiesta. Focus y Ecosport 1.6,8695.55,,,,
JMU-9015,Junta M£ltiple Volkswagen Bora 2.0,10434.67,,,,
JMU-9016,Junta M£ltiple Ford Fiesta y Ka - 1.0 y 1.6,7826.0,,,,
JMU-9017,Junta M£ltiple Ford Focus III 2.0,10325.98,,,,
JMU-9018,Junta M£ltiple Chevrolet Cruze 1.8,10760.75,,,,
JSA-102,Junta Bedford,5634.72,,,,
JSA-107,Junta Chevrolet aro amianto,4930.38,,,,
JSA-111,Junta Dodge 1500,1565.21,,,,
JSA-111/1,Junta Dodge 1500 Laminada,4010.83,,,,
JSA-113,Junta Estanciera,1715.2,,,,
JSA-113/1,Junta Estanciera Laminada,4010.83,,,,
JSA-114,Junta Fiat 1100,1076.08,,,,
JSA-115,Junta Fiat 600,880.42,,,,
JSA-116,Junta Fiat 1500 - 1600,1565.21,,,,
JSA-117,Junta Fiat 125,1565.21,,,,
JSA-117/1,Junta Fiat 125 Laminada,4989.08,,,,
JSA-125,Junta F100 - Salida Motor,1721.72,,,,
JSA-125/1,Junta F100 - Salida Motor Laminada,4411.91,,,,
JSA-126,Junta F100 - Acople conexi¢n,1721.72,,,,
JSA-126/1,Junta F100 - Acople Conexi¢n Laminada,4411.91,,,,
JSA-129,Junta Falcon 188 c/Brida,1565.21,,,,
JSA-133,"Junta Falcon 188-221-Aro hierro 2""",4597.77,,,,
JSA-140,Junta Jeep,1565.21,,,,
JSA-143,Junta Mercedes Benz 3500-1112-1114,2739.1,,,,
JSA-143/1,Junta Mercedes Benz 608,1858.67,,,,
